Year,County,Region,Stage,Type,Count
2020,Cameron,11-Edinburg,Family Preservation,Other,4
2020,Camp,4-Tyler,Investigation,Family/Kinship Foster Home,4
2020,Camp,4-Tyler,Investigation,Non-Relative Foster Home,4
2020,Camp,4-Tyler,Investigation,Other,2
2020,Camp,4-Tyler,Family Preservation,Non-Relative Foster Home,2
2020,Carson,1-Lubbock,Investigation,Other,1
2020,Cass,4-Tyler,Investigation,Emergency Shelter,3
2020,Cass,4-Tyler,Investigation,Family/Kinship Foster Home,9
2020,Cass,4-Tyler,Investigation,Non-Relative Foster Home,8
2020,Cass,4-Tyler,Investigation,Other,3
2020,Cass,4-Tyler,Family Preservation,Family/Kinship Foster Home,3
2020,Chambers,6-Houston,Investigation,Non-Relative Foster Home,3
2020,Cherokee,4-Tyler,Investigation,Emergency Shelter,5
2020,Cherokee,4-Tyler,Investigation,Family/Kinship Foster Home,34
2020,Cherokee,4-Tyler,Investigation,Non-Relative Foster Home,22
2020,Cherokee,4-Tyler,Investigation,Other,12
2020,Cherokee,4-Tyler,Family Preservation,Family/Kinship Foster Home,6
2020,Cherokee,4-Tyler,Family Preservation,Other,1
2020,Childress,1-Lubbock,Investigation,Family/Kinship Foster Home,2
2020,Childress,1-Lubbock,Investigation,Non-Relative Foster Home,3
2020,Childress,1-Lubbock,Investigation,Other,2
2020,Childress,1-Lubbock,Family Preservation,Non-Relative Foster Home,2
2020,Clay,2-Abilene,Investigation,Family/Kinship Foster Home,2
2020,Clay,2-Abilene,Investigation,Non-Relative Foster Home,4
2020,Clay,2-Abilene,Family Preservation,Non-Relative Foster Home,1
2020,Cochran,1-Lubbock,Investigation,Family/Kinship Foster Home,1
2020,Coke,9-Midland,Investigation,Family/Kinship Foster Home,1
2020,Coleman,2-Abilene,Investigation,Family/Kinship Foster Home,4
2020,Coleman,2-Abilene,Investigation,Non-Relative Foster Home,1
2020,Coleman,2-Abilene,Investigation,Other,5
2020,Coleman,2-Abilene,Family Preservation,Family/Kinship Foster Home,5
2020,Coleman,2-Abilene,Family Preservation,Other,1
2020,Collin,3-Arlington,Investigation,Emergency Shelter,13
2020,Collin,3-Arlington,Investigation,Family/Kinship Foster Home,31
2020,Collin,3-Arlington,Investigation,Non-Relative Foster Home,56
2020,Collin,3-Arlington,Investigation,Other,19
2020,Collin,3-Arlington,Family Preservation,Emergency Shelter,7
2020,Collin,3-Arlington,Family Preservation,Family/Kinship Foster Home,4
2020,Collin,3-Arlington,Family Preservation,Non-Relative Foster Home,6
2020,Collin,3-Arlington,Family Preservation,Other,6
2020,Collingsworth,1-Lubbock,Investigation,Emergency Shelter,2
2020,Collingsworth,1-Lubbock,Investigation,Family/Kinship Foster Home,4
2020,Collingsworth,1-Lubbock,Investigation,Non-Relative Foster Home,1
2020,Collingsworth,1-Lubbock,Investigation,Other,2
2020,Collingsworth,1-Lubbock,Family Preservation,Family/Kinship Foster Home,1
2020,Colorado,6-Houston,Investigation,Non-Relative Foster Home,1
2020,Colorado,6-Houston,Investigation,Other,1
2020,Colorado,6-Houston,Family Preservation,Family/Kinship Foster Home,4
2020,Comal,8-San Antonio,Investigation,Emergency Shelter,14
2020,Comal,8-San Antonio,Investigation,Family/Kinship Foster Home,44
2020,Comal,8-San Antonio,Investigation,Non-Relative Foster Home,24
2020,Comal,8-San Antonio,Investigation,Other,13
2020,Comal,8-San Antonio,Family Preservation,Family/Kinship Foster Home,11
2020,Comal,8-San Antonio,Family Preservation,Non-Relative Foster Home,4
2020,Comal,8-San Antonio,Family Preservation,Other,4
2020,Comanche,2-Abilene,Investigation,Emergency Shelter,1
2020,Comanche,2-Abilene,Investigation,Family/Kinship Foster Home,3
2020,Comanche,2-Abilene,Investigation,GRO/RTC,1
2020,Comanche,2-Abilene,Investigation,Non-Relative Foster Home,2
2020,Comanche,2-Abilene,Family Preservation,Family/Kinship Foster Home,2
2020,Comanche,2-Abilene,Family Preservation,Non-Relative Foster Home,1
2020,Concho,9-Midland,Investigation,Non-Relative Foster Home,3
2020,Concho,9-Midland,Investigation,Other,2
2020,Cooke,3-Arlington,Investigation,Emergency Shelter,8
2020,Cooke,3-Arlington,Investigation,Family/Kinship Foster Home,14
2020,Cooke,3-Arlington,Investigation,Non-Relative Foster Home,15
2020,Cooke,3-Arlington,Investigation,Other,6
2020,Cooke,3-Arlington,Family Preservation,Non-Relative Foster Home,5
2020,Coryell,7-Austin,Investigation,Emergency Shelter,11
2020,Coryell,7-Austin,Investigation,Family/Kinship Foster Home,81
2020,Coryell,7-Austin,Investigation,Non-Relative Foster Home,45
2020,Coryell,7-Austin,Investigation,Other,19
2020,Coryell,7-Austin,Family Preservation,Emergency Shelter,1
2020,Coryell,7-Austin,Family Preservation,Family/Kinship Foster Home,4
2020,Coryell,7-Austin,Family Preservation,Non-Relative Foster Home,4
2020,Coryell,7-Austin,Family Preservation,Other,2
2020,Cottle,2-Abilene,Investigation,Non-Relative Foster Home,2
2020,Cottle,2-Abilene,Investigation,Other,1
2020,Crane,9-Midland,Investigation,Other,2
2020,Crane,9-Midland,Family Preservation,Non-Relative Foster Home,1
2020,Crockett,9-Midland,Investigation,Emergency Shelter,1
2020,Crockett,9-Midland,Investigation,Family/Kinship Foster Home,1
2020,Crockett,9-Midland,Investigation,Other,1
2020,Crockett,9-Midland,Family Preservation,Family/Kinship Foster Home,3
2020,Crosby,1-Lubbock,Investigation,Emergency Shelter,6
2020,Crosby,1-Lubbock,Investigation,Family/Kinship Foster Home,4
2020,Crosby,1-Lubbock,Investigation,GRO/RTC,1
2020,Crosby,1-Lubbock,Investigation,GRO/RTC,1
2020,Crosby,1-Lubbock,Family Preservation,Family/Kinship Foster Home,5
2020,Dallam,1-Lubbock,Investigation,Emergency Shelter,2
2020,Dallam,1-Lubbock,Investigation,Family/Kinship Foster Home,4
2020,Dallam,1-Lubbock,Investigation,Non-Relative Foster Home,9
2020,Dallam,1-Lubbock,Investigation,Other,6
2020,Dallas,3-Arlington,Investigation,Emergency Shelter,118
2020,Dallas,3-Arlington,Investigation,Family/Kinship Foster Home,181
2020,Dallas,3-Arlington,Investigation,GRO/RTC,1
2020,Dallas,3-Arlington,Investigation,Non-Relative Foster Home,534
2020,Dallas,3-Arlington,Investigation,Other,147
2020,Dallas,3-Arlington,Investigation,GRO/RTC,1
2020,Dallas,3-Arlington,Family Preservation,Emergency Shelter,13
2020,Dallas,3-Arlington,Family Preservation,Family/Kinship Foster Home,19
2020,Dallas,3-Arlington,Family Preservation,Non-Relative Foster Home,53
2020,Dallas,3-Arlington,Family Preservation,Other,10
2020,Dawson,9-Midland,Investigation,Family/Kinship Foster Home,5
2020,Dawson,9-Midland,Investigation,Other,2
2020,Dawson,9-Midland,Family Preservation,Family/Kinship Foster Home,2
2020,Deaf Smith,1-Lubbock,Investigation,Emergency Shelter,2
2020,Deaf Smith,1-Lubbock,Investigation,Family/Kinship Foster Home,9
2020,Deaf Smith,1-Lubbock,Investigation,Non-Relative Foster Home,2
2020,Deaf Smith,1-Lubbock,Investigation,Other,1
2020,Delta,4-Tyler,Investigation,Family/Kinship Foster Home,1
2020,Delta,4-Tyler,Investigation,Non-Relative Foster Home,4
2020,Denton,3-Arlington,Investigation,Emergency Shelter,24
2020,Denton,3-Arlington,Investigation,Family/Kinship Foster Home,87
2020,Denton,3-Arlington,Investigation,GRO/RTC,2
2020,Denton,3-Arlington,Investigation,Non-Relative Foster Home,94
2020,Denton,3-Arlington,Investigation,Other,50
2020,Denton,3-Arlington,Investigation,GRO/RTC,1
2020,Denton,3-Arlington,Family Preservation,Emergency Shelter,1
2020,Denton,3-Arlington,Family Preservation,Family/Kinship Foster Home,9
2020,Denton,3-Arlington,Family Preservation,Non-Relative Foster Home,27
2020,Denton,3-Arlington,Family Preservation,Other,1
2020,DeWitt,8-San Antonio,Investigation,Non-Relative Foster Home,1
2020,DeWitt,8-San Antonio,Investigation,Other,5
2020,DeWitt,8-San Antonio,Family Preservation,Family/Kinship Foster Home,1
2020,DeWitt,8-San Antonio,Family Preservation,Other,1
2020,Dimmit,8-San Antonio,Investigation,Emergency Shelter,3
2020,Dimmit,8-San Antonio,Investigation,Family/Kinship Foster Home,2
2020,Dimmit,8-San Antonio,Family Preservation,Family/Kinship Foster Home,3
2020,Dimmit,8-San Antonio,Family Preservation,Non-Relative Foster Home,3
2020,Donley,1-Lubbock,Investigation,Emergency Shelter,2
2020,Duval,11-Edinburg,Investigation,Emergency Shelter,6
2020,Duval,11-Edinburg,Investigation,Family/Kinship Foster Home,1
2020,Duval,11-Edinburg,Investigation,Non-Relative Foster Home,3
2020,Duval,11-Edinburg,Investigation,Other,2
2020,Duval,11-Edinburg,Family Preservation,Emergency Shelter,7
2020,Duval,11-Edinburg,Family Preservation,Non-Relative Foster Home,1
2020,Eastland,2-Abilene,Investigation,Emergency Shelter,4
2020,Eastland,2-Abilene,Investigation,Family/Kinship Foster Home,5
2020,Eastland,2-Abilene,Investigation,Non-Relative Foster Home,2
2020,Eastland,2-Abilene,Investigation,Other,1
2020,Eastland,2-Abilene,Family Preservation,Family/Kinship Foster Home,2
2020,Eastland,2-Abilene,Family Preservation,Non-Relative Foster Home,1
2020,Ector,9-Midland,Investigation,Emergency Shelter,8
2020,Ector,9-Midland,Investigation,Family/Kinship Foster Home,75
2020,Ector,9-Midland,Investigation,Non-Relative Foster Home,21
2020,Ector,9-Midland,Investigation,Other,12
2020,Ector,9-Midland,Family Preservation,Emergency Shelter,4
2020,Ector,9-Midland,Family Preservation,Family/Kinship Foster Home,51
2020,Ector,9-Midland,Family Preservation,Non-Relative Foster Home,8
2020,Ector,9-Midland,Family Preservation,Other,4
2020,Ellis,3-Arlington,Investigation,Emergency Shelter,1
2020,Ellis,3-Arlington,Investigation,Family/Kinship Foster Home,9
2020,Ellis,3-Arlington,Investigation,GRO/RTC,1
2020,Ellis,3-Arlington,Investigation,Non-Relative Foster Home,9
2020,Ellis,3-Arlington,Investigation,Other,10
2020,Ellis,3-Arlington,Family Preservation,Family/Kinship Foster Home,8
2020,Ellis,3-Arlington,Family Preservation,Non-Relative Foster Home,4
2020,El Paso,10-El Paso,Investigation,Emergency Shelter,58
2020,El Paso,10-El Paso,Investigation,Family/Kinship Foster Home,17
2020,El Paso,10-El Paso,Investigation,GRO/RTC,3
2020,El Paso,10-El Paso,Investigation,Non-Relative Foster Home,34
2020,El Paso,10-El Paso,Investigation,Other,63
2020,El Paso,10-El Paso,Family Preservation,Emergency Shelter,32
2020,El Paso,10-El Paso,Family Preservation,Family/Kinship Foster Home,2
2020,El Paso,10-El Paso,Family Preservation,Non-Relative Foster Home,15
2020,El Paso,10-El Paso,Family Preservation,Other,6
2020,Erath,3-Arlington,Investigation,Family/Kinship Foster Home,3
2020,Erath,3-Arlington,Investigation,GRO/RTC,5
2020,Erath,3-Arlington,Investigation,Non-Relative Foster Home,9
2020,Erath,3-Arlington,Investigation,Other,4
2020,Erath,3-Arlington,Family Preservation,Emergency Shelter,1
2020,Erath,3-Arlington,Family Preservation,Family/Kinship Foster Home,1
2020,Falls,7-Austin,Investigation,Emergency Shelter,5
2020,Falls,7-Austin,Investigation,Family/Kinship Foster Home,31
2020,Falls,7-Austin,Investigation,Non-Relative Foster Home,7
2020,Falls,7-Austin,Investigation,Other,2
2020,Falls,7-Austin,Family Preservation,Emergency Shelter,5
2020,Falls,7-Austin,Family Preservation,Other,1
2020,Fannin,3-Arlington,Investigation,Family/Kinship Foster Home,8
2020,Fannin,3-Arlington,Investigation,Non-Relative Foster Home,18
2020,Fannin,3-Arlington,Investigation,Other,14
2020,Fannin,3-Arlington,Investigation,GRO/RTC,1
2020,Fannin,3-Arlington,Family Preservation,Family/Kinship Foster Home,2
2020,Fannin,3-Arlington,Family Preservation,Non-Relative Foster Home,9
2020,Fayette,7-Austin,Investigation,Family/Kinship Foster Home,11
2020,Fayette,7-Austin,Investigation,Non-Relative Foster Home,4
2020,Fayette,7-Austin,Investigation,Other,5
2020,Fayette,7-Austin,Family Preservation,Family/Kinship Foster Home,8
2020,Fayette,7-Austin,Family Preservation,GRO/RTC,2
2020,Fisher,2-Abilene,Investigation,Family/Kinship Foster Home,4
2020,Fisher,2-Abilene,Family Preservation,Family/Kinship Foster Home,1
2020,Floyd,1-Lubbock,Investigation,Family/Kinship Foster Home,6
2020,Floyd,1-Lubbock,Family Preservation,Family/Kinship Foster Home,2
2020,Foard,2-Abilene,Investigation,Non-Relative Foster Home,4
2020,Fort Bend,6-Houston,Investigation,Emergency Shelter,8
2020,Fort Bend,6-Houston,Investigation,Family/Kinship Foster Home,19
2020,Fort Bend,6-Houston,Investigation,Non-Relative Foster Home,9
2020,Fort Bend,6-Houston,Investigation,Other,15
2020,Fort Bend,6-Houston,Family Preservation,Family/Kinship Foster Home,8
2020,Franklin,4-Tyler,Investigation,Family/Kinship Foster Home,4
2020,Franklin,4-Tyler,Investigation,Non-Relative Foster Home,5
2020,Franklin,4-Tyler,Investigation,Other,1
2020,Franklin,4-Tyler,Family Preservation,Family/Kinship Foster Home,1
2020,Freestone,7-Austin,Investigation,Emergency Shelter,1
2020,Freestone,7-Austin,Investigation,Family/Kinship Foster Home,17
2020,Freestone,7-Austin,Investigation,Non-Relative Foster Home,10
2020,Frio,8-San Antonio,Investigation,Emergency Shelter,13
2020,Frio,8-San Antonio,Investigation,Family/Kinship Foster Home,4
2020,Frio,8-San Antonio,Investigation,Non-Relative Foster Home,9
2020,Frio,8-San Antonio,Investigation,Other,2
2020,Frio,8-San Antonio,Family Preservation,Family/Kinship Foster Home,1
2020,Frio,8-San Antonio,Family Preservation,Non-Relative Foster Home,5
2020,Gaines,9-Midland,Investigation,Family/Kinship Foster Home,10
2020,Gaines,9-Midland,Investigation,Non-Relative Foster Home,2
2020,Gaines,9-Midland,Investigation,Other,3
2020,Gaines,9-Midland,Family Preservation,Family/Kinship Foster Home,3
2020,Galveston,6-Houston,Investigation,Emergency Shelter,2
2020,Galveston,6-Houston,Investigation,Family/Kinship Foster Home,77
2020,Galveston,6-Houston,Investigation,Non-Relative Foster Home,36
2020,Galveston,6-Houston,Investigation,Other,25
2020,Galveston,6-Houston,Investigation,GRO/RTC,1
2020,Galveston,6-Houston,Family Preservation,Family/Kinship Foster Home,37
2020,Galveston,6-Houston,Family Preservation,Non-Relative Foster Home,2
2020,Galveston,6-Houston,Family Preservation,Other,2
2020,Garza,1-Lubbock,Investigation,Family/Kinship Foster Home,3
2020,Garza,1-Lubbock,Investigation,Non-Relative Foster Home,2
2020,Garza,1-Lubbock,Investigation,Other,1
2020,Gillespie,8-San Antonio,Investigation,Family/Kinship Foster Home,1
2020,Gillespie,8-San Antonio,Investigation,Non-Relative Foster Home,2
2020,Gillespie,8-San Antonio,Investigation,Other,1
2020,Gillespie,8-San Antonio,Family Preservation,Family/Kinship Foster Home,2
2020,Goliad,8-San Antonio,Investigation,Family/Kinship Foster Home,4
2020,Goliad,8-San Antonio,Investigation,Non-Relative Foster Home,1
2020,Gonzales,8-San Antonio,Investigation,Emergency Shelter,2
2020,Gonzales,8-San Antonio,Investigation,Non-Relative Foster Home,6
2020,Gonzales,8-San Antonio,Investigation,Other,2
2020,Gonzales,8-San Antonio,Family Preservation,Non-Relative Foster Home,1
2020,Gonzales,8-San Antonio,Family Preservation,Other,1
2020,Gray,1-Lubbock,Investigation,Emergency Shelter,8
2020,Gray,1-Lubbock,Investigation,Family/Kinship Foster Home,4
2020,Gray,1-Lubbock,Investigation,GRO/RTC,1
2020,Gray,1-Lubbock,Investigation,Non-Relative Foster Home,14
2020,Gray,1-Lubbock,Investigation,Other,2
2020,Gray,1-Lubbock,Family Preservation,Family/Kinship Foster Home,2
2020,Gray,1-Lubbock,Family Preservation,Non-Relative Foster Home,2
2020,Grayson,3-Arlington,Investigation,Emergency Shelter,15
2020,Grayson,3-Arlington,Investigation,Family/Kinship Foster Home,16
2020,Grayson,3-Arlington,Investigation,Non-Relative Foster Home,50
2020,Grayson,3-Arlington,Investigation,Other,12
2020,Grayson,3-Arlington,Family Preservation,Family/Kinship Foster Home,4
2020,Grayson,3-Arlington,Family Preservation,Non-Relative Foster Home,2
2020,Grayson,3-Arlington,Family Preservation,Other,2
2020,Gregg,4-Tyler,Investigation,Emergency Shelter,13
2020,Gregg,4-Tyler,Investigation,Family/Kinship Foster Home,83
2020,Gregg,4-Tyler,Investigation,Non-Relative Foster Home,49
2020,Gregg,4-Tyler,Investigation,Other,21
2020,Gregg,4-Tyler,Family Preservation,Family/Kinship Foster Home,8
2020,Gregg,4-Tyler,Family Preservation,Non-Relative Foster Home,12
2020,Gregg,4-Tyler,Family Preservation,Other,2
2020,Grimes,7-Austin,Investigation,Family/Kinship Foster Home,11
2020,Grimes,7-Austin,Investigation,Non-Relative Foster Home,1
2020,Grimes,7-Austin,Investigation,Other,2
2020,Grimes,7-Austin,Family Preservation,Family/Kinship Foster Home,1
2020,Guadalupe,8-San Antonio,Investigation,Emergency Shelter,6
